1,+,1,2.0"}
1,*,1,1.0"}
1,/,1,1.0"}
1,+,10,11.0"}
10,+,1,11.0"}
1,-,7,-6.0"}
8,+,1,9.0"}
1,-,1,0.0"}
99,/,1,99.0"}
1,/,100,0.01"}
2,*,5,10.0"}
3,+,5,8.0"}
1000,-,0,1000.0"}
123,+,1111,1234.0"}
0,+,0,0.0"}
77,/,13,5.923076923076923"}
13,/,2,6.5"}
15,*,5,75.0"}
10,-,11,-1.0"}
100,*,100,10000.0"}
1,+,1,2.0"}
1,*,1,1.0"}
1,/,1,1.0"}
1,+,10,11.0"}
10,+,1,11.0"}
1,-,7,-6.0"}
8,+,1,9.0"}
1,-,1,0.0"}
99,/,1,99.0"}
1,/,100,0.01"}
2,*,5,10.0"}
3,+,5,8.0"}
1000,-,0,1000.0"}
123,+,1111,1234.0"}
0,+,0,0.0"}
77,/,13,5.923076923076923"}
13,/,2,6.5"}
15,*,5,75.0"}
10,-,11,-1.0"}
100,*,100,10000.0"}
1,+,1,2.0"}
1,*,1,1.0"}
1,/,1,1.0"}
1,+,10,11.0"}
10,+,1,11.0"}
1,-,7,-6.0"}
8,+,1,9.0"}
1,-,1,0.0"}
99,/,1,99.0"}
1,/,100,0.01"}
2,*,5,10.0"}
3,+,5,8.0"}
1000,-,0,1000.0"}
123,+,1111,1234.0"}
0,+,0,0.0"}
77,/,13,5.923076923076923"}
13,/,2,6.5"}
15,*,5,75.0"}
10,-,11,-1.0"}
100,*,100,10000.0"}
